X,Y,objectid,numero_estacion,nombre_estacion,coordenada_x_estacion,coordenada_y_estacion,ubicacion_estacion,troncal_estacion,numero_vagones_estacion,numero_accesos_estacion,biciestacion_estacion,capacidad_biciestacion_estacion,tipo_estacion,biciparqueadero_estacion,latitud_estacion,longitud_estacion,codigo_nodo_estacion,componente_wifi,componente_aplificacion,globalid,created_user,created_date,last_edited_user,last_edited_date,log_replica,id_trazado_troncal
997836.0595,996629.2544,1,10000,Portal 20 de Julio,997836.0595,996629.2544,Kra 5 a Cl 33 Sur,Cr 7-10,1,0,1,216,1,1,4.56571811,-74.09700839,10500,Valor SI al campo,,{B78C011F-6DE5-44A3-A7CA-3A399CB5B6C2},,,editorTroncal,2024/08/05 13:56:55+00,,TZ018
998139.4242,1016655.2375,2,03000,Portal Suba,998139.4242,1016655.2375,Av Suba Av C. Cali,Suba,1,0,1,324,1,1,4.74681506,-74.09427889,3000,Valor SI al campo,,{BD590104-0BBB-459F-B755-35AB19174FA0},,,editorTroncal,2024/08/05 13:56:56+00,,TZ003
995130.6531,1009444.2454,3,06000,Portal El Dorado,995130.6531,1009444.2454,KR 87,Calle 26,1,0,1,532,1,1,4.6816043,-74.12139545,6000,Valor SI al campo,,{C0133415-310E-46CF-B5A9-666EA6E61807},,,editorTroncal,2024/08/05 13:56:56+00,,TZ016
996338.9625,1012565.3683,4,04000,Portal 80,996338.9625,1012565.3683,KR 96,Calle 80,1,0,1,353,1,1,4.70982948,-74.11050626,4000,PENDIENTE,,{C034C342-CDED-440B-8018-ACD556FFB217},,,editorTroncal,2024/08/05 13:56:57+00,,TZ005
989397.8277,1003669.9042,5,05000,Portal Américas,989397.8277,1003669.9042,Av.Cali - CL 43 sur,Americas,1,0,1,785,1,1,4.6293813,-74.17305845,5000,Valor SI al campo,,{42C4A5F7-4BB2-43F1-9F34-3DD9E16D232C},,,editorTroncal,2024/08/05 13:56:57+00,,TZ009
989803.5272,1000090.4772,6,07000,Portal Sur - JFK Coop. Financiera,989803.5272,1000090.4772,AutoSur-Kr 82,NQS,1,0,1,220,1,1,4.59701269,-74.16939799,7000,PENDIENTE,,{98739849-3736-44EC-BAB8-A048BA2E2972},,,editorTroncal,2024/08/05 13:56:58+00,,TZ010
993149.6917,997055.6271,7,08000,Portal Tunal,993149.6917,997055.6271,Av. Boyaca - Av Villavicencio,Tunal,1,0,0,0,1,0,4.56957146,-74.13924019,8000,Valor SI al campo,,{DE0322D2-9085-4AD4-BA9E-2F530F05F25B},,,editorTroncal,2024/08/05 13:56:58+00,,TZ014
995352.0772,992869.205600001,8,09000,Portal Usme,995352.0772,992869.2056,CL 65C Sur,Caracas,1,0,0,0,1,0,4.53171458,-74.11939098,9000,Valor SI al campo,,{C9978169-88EB-4454-899D-7613804E8B9F},,,editorTroncal,2024/08/05 13:56:59+00,,TZ013
1000325.8344,1007757.2292,9,07103,AV. Chile,1000326.9067,1007756.2952,Kr 30 Cl 72,NQS,3,2,0,0,4,0,4.66634138,-74.07456156,7103,,,{57C9788C-069C-476E-910F-0D2335C50534},,,editorTroncal,2024/08/05 13:56:59+00,,TZ008
997610.7562,1005604.8707,10,06103,CAN,997610.0435,1005604.3582,KR 60,Calle 26,2,1,0,0,4,0,4.64688089,-74.09904759,6103,,,{5FD58C2C-6805-41FB-9E0B-580B17796F0E},,,editorTroncal,2024/08/05 13:56:59+00,,TZ016
999855.6323,1005440.7251,11,07106,Campín - UAN,999867.8276,1005440.124,Kr 30 Cl 53,NQS,2,2,0,0,4,0,4.64539603,-74.07869913,7106,,,{C7FE97EC-5E36-4B70-BCF3-09944D46C204},,,editorTroncal,2024/08/05 13:57:00+00,,TZ008
1000668.5445,1001624.312,12,10008,San Diego,1000667.0148,1001625.2083,Kra 10- CL 23,Cr 7-10,2,2,0,0,4,0,4.61089733,-74.0714967,10008,,,{7864D35D-5E80-40CF-94A1-ED91FC8B3DCF},,,editorTroncal,2024/08/05 13:57:00+00,,TZ018
997947.9941,1011386.0621,13,04100,Granja - Kr 77,997946.6228,1011384.1234,KR 77 Bis,Calle 80,4,2,0,0,2,0,4.69914792,-74.09601551,4100,,,{2CAD6A7C-1FB3-4C3C-9148-15E549A934C0},,,editorTroncal,2024/08/05 13:57:01+00,,TZ005
998184.5617,1001712.4618,14,07111,Ricaurte - NQS,998184.5634,1001712.4604,Kr 30 Cl 10,NQS,3,2,1,165,3,1,4.6116862,-74.09386888,7111,,,{26DB3027-7F24-436B-B25C-8B791E9274A1},,,editorTroncal,2024/08/05 13:57:01+00,,TZ008
996536.5037,1012224.1448,15,04001,Quirigua,996536.5037,1012224.1448,KR 94,Calle 80,1,1,0,0,4,0,4.70674385,-74.1087256,4001,,,{93A68032-AB40-47FD-BA43-CFEB8DDDE58F},,,editorTroncal,2024/08/05 13:57:02+00,,TZ005
1000681.8465,1008182.7401,16,07102,Calle 75 - Zona M,1000687.6499,1008178.0879,Kr 30 - Cl 75A,NQS,2,1,0,0,4,0,4.67015567,-74.07131021,7102,,,{E3D41B50-7096-4EE0-BF57-64E4DCEF5525},,,editorTroncal,2024/08/05 13:57:02+00,,TZ008
998933.1551,1010808.3624,17,04102,AV. Boyacá,998934.3543,1010809.5358,Transversal 69 B,Calle 80,2,1,0,0,4,0,4.69395205,-74.08711277,4102,,,{20AE2664-F37D-4D77-829D-A4921DA5A36C},,,editorTroncal,2024/08/05 13:57:03+00,,TZ005
995275.7229,997744.577099999,18,09100,Calle 40 Sur,995274.3838,997750.2041,CL 38 Sur - CL 40 Su,Caracas,3,2,0,0,2,0,4.57585399,-74.12009368,9100,,,{A5456F43-9935-446E-AE36-B743B34E6A32},,,editorTroncal,2024/08/05 13:57:03+00,,TZ012
993706.7981,1003750.8841,19,05102,AV. Américas - AV. Boyacá,993706.7434,1003750.3983,Av. Americas -KR 71,Americas,2,1,1,32,4,1,4.6301134,-74.13422505,5102,,,{5768880A-8E04-4627-A0FA-ECCBE44A5E95},,,editorTroncal,2024/08/05 13:57:03+00,,TZ009
994157.8598,1003706.8698,20,05103,Marsella,994157.4686,1003703.0582,Av. Americas -KR 69C,Americas,3,1,1,32,4,1,4.62968561,-74.13016292,5103,,,{479753B8-242D-41EF-8C2E-56AEA9ADEBC3},,,editorTroncal,2024/08/05 13:57:04+00,,TZ009
1000580.3544,1012797.6712,21,03006,Niza - Calle 127,1000579.8469,1012797.5673,Av Suba CL 127,Suba,2,2,0,0,4,0,4.71193004,-74.07228152,3006,,,{D2DCC3CD-529B-423C-8FE6-BF2BDFC44B73},,,editorTroncal,2024/08/05 13:57:04+00,,TZ003
998496.5105,1016182.3021,22,03001,La Campiña,998496.9338,1016182.7993,Av Suba Kr 98A,Suba,3,1,0,0,4,0,4.74254284,-74.09105627,3001,,,{AA913FC7-BA80-4E06-AF69-7213BA8F4508},,,editorTroncal,2024/08/05 13:57:05+00,,TZ003
991726.9798,1004201.8923,23,05005,Transversal 86,991727.5244,1004202.4413,Av. Americas -tv. 86,Americas,2,1,0,0,4,0,4.63419961,-74.15206292,5005,,,{248DDB44-C701-4558-B138-13D67816C8E4},,,editorTroncal,2024/08/05 13:57:05+00,,TZ009
